start	end	text
0	5000	Уже почти две недели склады нашей компании подвергаются террористическим атакам.
5980	7580	Почему именно наши склады?
7900	14460	Вайлберрис – народный маркетплейс, которым пользуется каждый житель нашей страны и других стран тоже.
14860	20420	Поэтому удары по нам – это удары по сотням миллионов людей в десяти странах одновременно.
20940	25980	Нашим сотрудникам, нашим продавцам, производителям, логистам, владельцам ПВЗ,
25980	33220	тысячам других предпринимателей, исполнителям и покупателям, среди которых есть и социально незащищенные люди.
33460	37180	Атаки на инфраструктуру Вайлберрис – это атаки на мирных людей.
37560	39680	И повторюсь, не только россиян.
40100	48440	В нашей экосистеме ведут бизнес десятки тысяч людей из Кыргызстана, Белоруссии, Казахстана, Армении, Узбекистана и Китая.
49000	53220	Предприниматели этих стран тоже понесли миллиардные убытки.
53220	55940	Я вижу в интернете рассуждения диванных экономиков.
55980	60860	И экспертов на тему защиты наших объектов, противовоздушной обороны и так далее.
60860	66860	Повторю, наши склады оборудованы всеми доступными средствами защиты.
66860	72100	С первого дня атак мы ежедневно усиливаем и укрепляем линию обороны,
72100	75180	используя в том числе и инженерные решения.
75180	78180	По понятным причинам детали раскрывать я не буду.
78180	82980	Но будьте уверены, мы каждый день модернизируем системы защиты.
82980	85960	И тот факт, что мы успешно отражаем большую часть
85960	89200	атак тому прямое подтверждение.
89200	93840	Это при том, что террористы каждый день усиливают огневую мощь.
93840	97840	Например, только на склад в Екатеринбурге, где загорелись машины на парковке,
97840	101320	летело более 200 БПЛА самолетного типа.
101320	105440	Теперь хотела бы рассказать о противопожарной защите наших объектов.
105440	109640	С 2024 года, когда мы создали объединенную компанию,
109640	115080	мы полностью перестроили работу наших складов по противопожарной безопасности.
115080	115080	
115080	115080	
115080	115080	
115080	119480	За эти два года мы организовали собственные противопожарные бригады,
119480	124160	оборудовали все объекты с самыми современными системами пожаротушения,
124160	130480	производим собственные комплектующие и регулярно проводим эвакуационные учения с персоналом.
130480	137280	Около 2000 человек ежедневно обеспечивают противопожарную безопасность на всех наших складах.
137280	141360	Возглавляет службу пожарной безопасности полковник внутренней службы,
141360	144960	бывший сотрудник МЧС со стажем более 26 лет,
145080	148480	который в последнее время был в состоянии возникнуть в течение всего года.
148480	152480	Это позволило и позволяет нам обеспечить безопасность людей на складах,
